"Наименование","ЕИК","Вид на агенцията","Към участник","Описание"
"Булфото Медиа Сървис ЕООД","206694455","Рекламна","ИМА ТАКЪВ НАРОД - Партия","рекламни материали"
"САСАНИДИ АД","201724065","За осъществяване на връзки с обществеността","ИМА ТАКЪВ НАРОД - Партия",""
"ЕКРИТ МЕДИА ООД","204600845","Рекламна","ИМА ТАКЪВ НАРОД - Партия",""
"ОП Русе Арт","0005306320317","За осъществяване на връзки с обществеността","ИМА ТАКЪВ НАРОД - Партия","билборд"
"Кригея 2016 ЕООД","204013260","За осъществяване на връзки с обществеността","ИМА ТАКЪВ НАРОД - Партия",""
"ДАРИК РАДИО АД","831476119","За осъществяване на връзки с обществеността","ИМА ТАКЪВ НАРОД - Партия",""
"БНР -РСС - РАДИО ВАРНА","0006723430025","За осъществяване на връзки с обществеността","ИМА ТАКЪВ НАРОД - Партия",""
"Булбранд Медия ООД","202932496","Рекламна","ИМА ТАКЪВ НАРОД - Партия","флаери"
"Ибис принт ЕООД","206695190","Рекламна","ИМА ТАКЪВ НАРОД - Партия",""
"Форс Аутдор Медия ЕООД","102690266","Рекламна","ИМА ТАКЪВ НАРОД - Партия",""
"Спийдкарс ООД","175368004","За осъществяване на връзки с обществеността","ИМА ТАКЪВ НАРОД - Партия",""
"Община Ямбол","000970496","За осъществяване на връзки с обществеността","ИМА ТАКЪВ НАРОД - Партия",""
"БУМЕРАНГ ФМ ЕООД","107046713","За осъществяване на връзки с обществеността","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","За осъществяване на връзки с обществеността"
"ЕЛЕКТРОННА МЕДИЯ ЕООД","203827110","За осъществяване на връзки с обществеността","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","За осъществяване на връзки с обществеността"
"МЕТРОПОЛИС ГРУП АД","175257604","Рекламна","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","Рекламна"
"ПЛОВДИВ ПРЕС ООД","204808860","Рекламна","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","Рекламна"
"ДИ ЕНД ДЖИ ЕООД","123746558","Рекламна","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","Рекламна"
"ЕС ТИ ЗАГОРА ЕООД","202340772","Рекламна","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","Рекламна"
"АЛФАМАРКЕТ ПРИМ ЕООД","202587210","Рекламна","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","Рекламна"
"ЗАГОРА.БГ ЕООД","205920976","Рекламна","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","Рекламна"
"ИМД МЕДИЯ ГРУП ЕООД","206829077","Рекламна","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","Рекламна"
"ДИ ЕН СИ МЕДИЯ  ЕООД","205983122","Рекламна","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","Рекламна"
"ТИЙМ Т КОНСУЛТ ЕООД","204120682","Рекламна","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","Рекламна"
"ДЕТ-2007 ООД","123762364","Рекламна","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","Рекламна"
"СД ВИС ВИТАЛИС-САМАРСКИ И СИЕ","123040082","Рекламна","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","Рекламна"
"СТАРОЗАГОРСКИ НОВИНИ ЕООД","123048158","Рекламна","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","Рекламна"
"НАЦИОНАЛНА БИЗНЕС ПОЩА ЕООД","123155726","Рекламна","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","Рекламна"
"СЗГ ЕООД","205246171","Рекламна","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","Рекламна"
"Телевизия Евроком ООД ","121761999","За осъществяване на връзки с обществеността","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","За осъществяване на връзки с обществеността"
"ГЛАСОВЕТЕ.КОМ ЕООД","204275490","За осъществяване на връзки с обществеността","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","За осъществяване на връзки с обществеността"
"ДЕМАКС АД","831453003","Рекламна","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","Рекламна"
"НОМЕР ЕДНО АДВ ЕООД","200093394","Рекламна","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","Рекламна"
"ИДЕЯ КОММ АД","121826308","Рекламна","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","Рекламна"
"ОБЩИНА ДУПНИЦА","000261630","Рекламна","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","Рекламна"
"АДВЪРТАЙЗ КОНСУЛТ 77 ЕООД","205857643","Рекламна","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","Рекламна"
"СТЕВЕСТ ЕООД","200676888","Рекламна","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","Рекламна"
"ПОДБАЛКАН МЕДИЯ","204983710","Рекламна","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","Рекламна"
"МАГ АДВЪРТАЙЗИНГ ЕООД","103117045","Рекламна","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","Рекламна"
"АКВА ТЕРРА ВН ЕООД","200440172","За осъществяване на връзки с обществеността","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","За осъществяване на връзки с обществеността"
"ПА 1 БГ ЕООД","200670344","За осъществяване на връзки с обществеността","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","За осъществяване на връзки с обществеността"
"С.А.Р.А - КОНСУЛТ ЕООД","203399827","За осъществяване на връзки с обществеността","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","За осъществяване на връзки с обществеността"
"ПАМЕДИЯ ЕООД","208583915","За осъществяване на връзки с обществеността","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","За осъществяване на връзки с обществеността"
"ТЕЛЕНЮЗ ЕООД","112533320","За осъществяване на връзки с обществеността","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","За осъществяване на връзки с обществеността"
"ФЕЙС КОНСУЛТ ЕООД","202248758","Рекламна","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","Рекламна"
"ИК ЗНАМЕ ЕАД","202127308","За осъществяване на връзки с обществеността","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","За осъществяване на връзки с обществеността"
"ДЕЙМОС ЕООД","112522263","Рекламна","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","Рекламна"
"СТУДИО КАМ ЕООД","203185054","Рекламна","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","Рекламна"
"КИПА-КАЛИНКА ТРИФОНОВА  ЕТ","117043352","За осъществяване на връзки с обществеността","ВЪЗРАЖДАНЕ - Партия","ПУБЛИКАЦИИ В САЙТ"
"Агенция КРОСС ООД","131020614","За осъществяване на връзки с обществеността","ВЪЗРАЖДАНЕ - Партия","ПУБЛИКАЦИИ В САЙТ"
"Еском Медиа Груп ООД","202355379","За осъществяване на връзки с обществеността","ВЪЗРАЖДАНЕ - Партия","ПУБЛИКАЦИИ В САЙТ И ТВ"
"ЕТ Зетра-Петко Чернев","030068263","За осъществяване на връзки с обществеността","ВЪЗРАЖДАНЕ - Партия","ПУБЛИКАЦИИ В САЙТ"
"МЕДИА ГРУП 2014 ЕООД","203237540","За осъществяване на връзки с обществеността","ВЪЗРАЖДАНЕ - Партия","ПУБЛИКАЦИИ В САЙТ И ВЕСТНИК"
"МЕДИА ЛАЙТ ЕООД","147055321","За осъществяване на връзки с обществеността","ВЪЗРАЖДАНЕ - Партия","ПУБЛИКАЦИИ В САЙТ"
"Нес Медия ООД","207779549","За осъществяване на връзки с обществеността","ВЪЗРАЖДАНЕ - Партия","ПУБЛИКАЦИИ В САЙТ"
"ГУСТО МЕДИЯ ООД","202243946","За осъществяване на връзки с обществеността","ВЪЗРАЖДАНЕ - Партия","ПУБЛИКАЦИИ В САЙТ"
"Анонс медиа груп ЕООД","207190323","За осъществяване на връзки с обществеността","ВЪЗРАЖДАНЕ - Партия","ПУБЛИКАЦИИ В САЙТ"
"ДАРИК РАДИО АД","831476119","За осъществяване на връзки с обществеността","ВЪЗРАЖДАНЕ - Партия","ЕФИРНО ВРЕМЕ-РАДИО"
"Дръстър Медия Груп ЕООД","202891341","За осъществяване на връзки с обществеността","ВЪЗРАЖДАНЕ - Партия","ПУБЛИКАЦИИ В САЙТ"
"ЕТ ПВ ПЛЮС-ИВАН ИЛИЕВ","114552814","За осъществяване на връзки с обществеността","ВЪЗРАЖДАНЕ - Партия","ПУБЛИКАЦИИ В САЙТ"
"КВОРУМ СС ЕООД","206325903","За осъществяване на връзки с обществеността","ВЪЗРАЖДАНЕ - Партия","ПУБЛИКАЦИИ В САЙТ"
"МАРМИЛА ЕООД","202813086","За осъществяване на връзки с обществеността","ВЪЗРАЖДАНЕ - Партия","ПУБЛИКАЦИИ В САЙТ И ВЕСТНИК"
"ЧЕРНОМОРСКИ ФАКТОР ЕООД","204227392","За осъществяване на връзки с обществеността","ВЪЗРАЖДАНЕ - Партия","ПУБЛИКАЦИИ ВЪВ ВЕСТНИК"
"АГЕНЦИЯ МАДАРА ЕООД","204384148","За осъществяване на връзки с обществеността","ВЪЗРАЖДАНЕ - Партия","ПУБЛИКАЦИИ В САЙТ"
"ДМА МВ ЕООД ","205727190","За осъществяване на връзки с обществеността","ВЪЗРАЖДАНЕ - Партия","ПУБЛИКАЦИИ В САЙТ"
"Информационна агенция БЛИЦ ЕООД","204080210","За осъществяване на връзки с обществеността","ВЪЗРАЖДАНЕ - Партия","ПУБЛИКАЦИИ В САЙТ"
"ИК ЗНАМЕ ЕАД","202127308","За осъществяване на връзки с обществеността","ВЪЗРАЖДАНЕ - Партия","ПУБЛИКАЦИИ В САЙТ И ВЕСТНИК"
"КОНКУРЕНТ НЮЗ ЕООД","200137677","За осъществяване на връзки с обществеността","ВЪЗРАЖДАНЕ - Партия","ПУБЛИКАЦИИ В САЙТ И ВЕСТНИК"
"ОП ОБЩИНСКИ МЕДИЕН ЦЕНТЪР","0009317210563","За осъществяване на връзки с обществеността","ВЪЗРАЖДАНЕ - Партия","ПУБЛИКАЦИИ В САЙТ И ТВ"
"РЕТЕЛ ЕАД","175461795","За осъществяване на връзки с обществеността","ВЪЗРАЖДАНЕ - Партия","ЕФИРНО ВРЕМЕ-ТВ"
"РИМЕКС ООД","106514493","За осъществяване на връзки с обществеността","ВЪЗРАЖДАНЕ - Партия","ЕФИРНО ВРЕМЕ-ТВ"
"УЕБ МЕДИЯ ГРУП АД","131387286","За осъществяване на връзки с обществеността","ВЪЗРАЖДАНЕ - Партия","ПУБЛИКАЦИИ В САЙТ"
