key,clicks,impressions,ctr,position
избори зараево,1.0,3.0,0.3333,14.67
албена белянова,1.0,3.0,0.3333,15.0
миглена антонова павлова,1.0,3.0,0.3333,15.33
нермин енвер станева,1.0,3.0,0.3333,16.0
росица карамфилова родена,1.0,3.0,0.3333,16.33
лъчезар братоев,1.0,3.0,0.3333,24.33
мартин вътев,1.0,3.0,0.3333,29.33
христофор хубчев,1.0,3.0,0.3333,30.0
ангел джалев,1.0,3.0,0.3333,41.0
ирена косева,1.0,3.0,0.3333,51.0
николай иванов братованов,1.0,2.0,0.5,3.0
тереза балканджиева,1.0,2.0,0.5,3.5
людмила емилова чакърова,1.0,2.0,0.5,4.0
владко илиев владов,1.0,2.0,0.5,5.0
димитър дунев сливен,1.0,2.0,0.5,5.0
димитър живков брашнаров,1.0,2.0,0.5,5.0
софия набил алхадра,1.0,2.0,0.5,5.0
станислава казанджиева варна,1.0,2.0,0.5,5.0
цветозар нешев митници,1.0,2.0,0.5,5.0
сашка валентинова михайлова,1.0,2.0,0.5,5.5
владимир туджаров,1.0,2.0,0.5,6.0
гинка тодорова,1.0,2.0,0.5,6.0
розинов,1.0,2.0,0.5,6.0
симеон алексиев христов,1.0,2.0,0.5,6.0
анна людмилова радовска,1.0,2.0,0.5,6.5
янчо янчов таков,1.0,2.0,0.5,6.5
кирил филипов янчев,1.0,2.0,0.5,7.0
мехмед османоглу,1.0,2.0,0.5,7.0
румен пергелов,1.0,2.0,0.5,7.5
веселин балтаджиев,1.0,2.0,0.5,8.0
гергана запрянова,1.0,2.0,0.5,8.0
памела георгиева великова,1.0,2.0,0.5,8.0
беневрешки,1.0,2.0,0.5,8.5
иван бонев шиков,1.0,2.0,0.5,8.5
ники яръмов,1.0,2.0,0.5,8.5
халиме добруджан,1.0,2.0,0.5,8.5
христофор хубчев герб,1.0,2.0,0.5,8.5
светослав тодоров тодоров,1.0,2.0,0.5,9.0
александра вълчева депутат,1.0,2.0,0.5,9.5
валери караджинов,1.0,2.0,0.5,9.5
евтим петров милошев,1.0,2.0,0.5,9.5
nevena mineva,1.0,2.0,0.5,10.0
plamen beninski,1.0,2.0,0.5,10.0
джани антова,1.0,2.0,0.5,10.5
мартин янчев,1.0,2.0,0.5,11.0
росен неделев,1.0,2.0,0.5,11.0
асен палов,1.0,2.0,0.5,13.0
боян рангелов,1.0,2.0,0.5,13.5
ангел мечков,1.0,2.0,0.5,15.0
дарители на прогресивна българия,1.0,2.0,0.5,15.0
владислав влайков,1.0,2.0,0.5,15.5
славей тоширов,1.0,2.0,0.5,16.5
стоимен чакалов,1.0,2.0,0.5,18.5
иван комитов,1.0,2.0,0.5,19.0
димитър китанов,1.0,2.0,0.5,20.5
росалина инджиева,1.0,2.0,0.5,22.0
даниела райчева,1.0,2.0,0.5,23.5
йордан георгиев бургас,1.0,2.0,0.5,26.5
иван каназирски,1.0,2.0,0.5,28.5
георги веселинов черкезов,1.0,1.0,1.0,1.0
ashkan yashar,1.0,1.0,1.0,2.0
трайко димитров молев,1.0,1.0,1.0,2.0
ангелина крумова попова,1.0,1.0,1.0,3.0
гергана иванова георгиева,1.0,1.0,1.0,3.0
ивелин пламенов томов,1.0,1.0,1.0,3.0
александър цветанов възраждане,1.0,1.0,1.0,4.0
минчо живков георгиев,1.0,1.0,1.0,4.0
николай христов възраждане,1.0,1.0,1.0,4.0
румен граховски,1.0,1.0,1.0,4.0
пряка демокрация резултати,1.0,1.0,1.0,5.0
вяра тодорова герб,1.0,1.0,1.0,6.0
ирина асиова диамант родена,1.0,1.0,1.0,6.0
стефан свиленов пловдив,1.0,1.0,1.0,6.0
христо азманов,1.0,1.0,1.0,6.0
евгени гогушев,1.0,1.0,1.0,7.0
мирем дервиш,1.0,1.0,1.0,7.0
мария феркова,1.0,1.0,1.0,8.0
ангело прокопиев,1.0,1.0,1.0,9.0
георги леонидов кобаков,1.0,1.0,1.0,9.0
косара стайкова,1.0,1.0,1.0,9.0
още,1.0,1.0,1.0,9.0
виктор дачев,1.0,1.0,1.0,10.0
росица ташева пенева,1.0,1.0,1.0,10.0
сабина захариева,1.0,1.0,1.0,10.0
александър пенев митници,1.0,1.0,1.0,11.0
мустафа мустафов люманков,1.0,1.0,1.0,11.0
саркис инджиян,1.0,1.0,1.0,12.0
александър ивайлов иванов,1.0,1.0,1.0,13.0
mihaela karadimova,1.0,1.0,1.0,14.0
асен кехайов,1.0,1.0,1.0,15.0
динко уручевски,1.0,1.0,1.0,15.0
златка ряхова,1.0,1.0,1.0,15.0
оборище мир,1.0,1.0,1.0,16.0
орлин вилхелм иванов,1.0,1.0,1.0,16.0
волтарен гел цена марешки,1.0,1.0,1.0,17.0
георги хорозов биография,1.0,1.0,1.0,17.0
георги христов жеков,1.0,1.0,1.0,17.0
лилия бочева,1.0,1.0,1.0,19.0
николай куртев,1.0,1.0,1.0,19.0
стоян димитров стоянов,1.0,1.0,1.0,19.0
александър велиславов тодоров,1.0,1.0,1.0,20.0
ивайло христов христов сливен,1.0,1.0,1.0,20.0
николай исаев,1.0,1.0,1.0,20.0
йоана пеловска,1.0,1.0,1.0,21.0
енгин идриз,1.0,1.0,1.0,22.0
красимир витанов,1.0,1.0,1.0,22.0
петьо колев,1.0,1.0,1.0,22.0
велислава чамова съпруг,1.0,1.0,1.0,24.0
даниел луков мвр,1.0,1.0,1.0,24.0
яна вангелова,1.0,1.0,1.0,26.0
красимир кузманов,1.0,1.0,1.0,27.0
иван кляшев,1.0,1.0,1.0,28.0
radost hristova,1.0,1.0,1.0,29.0
йордан яворов иванов,1.0,1.0,1.0,29.0
захар клио,1.0,1.0,1.0,34.0
агоп каспарян,1.0,1.0,1.0,39.0
ангел цанков,1.0,1.0,1.0,43.0
александър узунов,1.0,1.0,1.0,47.0
маргарита махаева,1.0,1.0,1.0,53.0
милко багдасаров,1.0,1.0,1.0,56.0
анелия стоянова,1.0,1.0,1.0,69.0
гюнай мюмюнов далоолу,0.0,782.0,0.0,10.52
румен драгомиров драганов,0.0,646.0,0.0,4.66
снежанка райчова траянска,0.0,290.0,0.0,8.94
венелин петров радев,0.0,156.0,0.0,7.14
милен руменов,0.0,116.0,0.0,14.76
