key,clicks,impressions,ctr,position
https://electionsbg.com/section/191300014,7.0,11.0,0.6364,4.73
https://electionsbg.com/candidate/Наталия Любомирова Кътовска/sections/,7.0,11.0,0.6364,10.18
https://electionsbg.com/candidate/Емил Методиев Шишманов,6.0,141.0,0.0426,6.64
https://electionsbg.com/candidate/Алекбер Исмет Абил/,6.0,120.0,0.05,8.53
https://electionsbg.com/candidate/Георги Йорданов Чаев,6.0,99.0,0.060599999999999994,6.4
https://electionsbg.com/candidate/Нуретин Айнур Тасим,6.0,97.0,0.061900000000000004,6.56
https://electionsbg.com/candidate/Ивайло Маринов Стоянов,6.0,87.0,0.069,6.93
https://electionsbg.com/candidate/Димитър Генчев Димитров,6.0,84.0,0.07139999999999999,5.06
https://electionsbg.com/candidate/Джипо Николов Джипов,6.0,76.0,0.0789,10.72
https://electionsbg.com/candidate/Ивайло Миленов Желев/,6.0,71.0,0.08449999999999999,6.06
https://electionsbg.com/candidate/Иван Георгиев Голомеев/,6.0,71.0,0.08449999999999999,6.56
https://electionsbg.com/candidate/Младен Василев Младенов,6.0,70.0,0.0857,8.57
https://electionsbg.com/sections/68134-2518,6.0,67.0,0.08960000000000001,9.34
https://electionsbg.com/section/131900041,6.0,66.0,0.0909,5.82
https://electionsbg.com/candidate/Венелина Ангелова Георгиева,6.0,65.0,0.09230000000000001,2.28
https://electionsbg.com/candidate/Емилия Красимирова Кехайова/,6.0,62.0,0.0968,5.89
https://electionsbg.com/section/111700001,6.0,60.0,0.1,9.85
https://electionsbg.com/candidate/Ангел Минков Сираков,6.0,59.0,0.1017,8.0
https://electionsbg.com/candidate/Пламен Дилов Дилов,6.0,58.0,0.10339999999999999,9.84
https://electionsbg.com/section/290900082,6.0,55.0,0.1091,8.05
https://electionsbg.com/candidate/Димитър Илиев Чамов/,6.0,47.0,0.1277,6.68
https://electionsbg.com/section/042600005,6.0,46.0,0.1304,6.28
https://electionsbg.com/sections/32024,6.0,44.0,0.1364,7.18
https://electionsbg.com/candidate/Светлана Русева Митошева,6.0,43.0,0.13949999999999999,7.35
https://electionsbg.com/candidate/Сашо Митов Ганов/,6.0,39.0,0.15380000000000002,8.28
https://electionsbg.com/candidate/Синем Джелил Емби,6.0,37.0,0.16219999999999998,5.97
https://electionsbg.com/candidate/Мирослав Стойчев Кьосев,6.0,36.0,0.16670000000000001,4.28
https://electionsbg.com/candidate/Методи Трайков Бисерков,6.0,35.0,0.1714,3.43
https://electionsbg.com/candidate/Павел Динчев Христов,6.0,35.0,0.1714,6.49
https://electionsbg.com/section/273600007,6.0,35.0,0.1714,6.89
https://electionsbg.com/section/153700023,6.0,35.0,0.1714,8.06
https://electionsbg.com/candidate/Валерия Йорданова Лозкова,6.0,34.0,0.1765,2.68
https://electionsbg.com/candidate/Калоян Иванов Кюркчиев,6.0,34.0,0.1765,5.97
https://electionsbg.com/sections/77061,6.0,33.0,0.1818,3.67
https://electionsbg.com/officials/yura-petkova-iordanova-vitanova-cfb062/,6.0,33.0,0.1818,8.48
https://electionsbg.com/candidate/Георги Николов Ралев,6.0,32.0,0.1875,4.94
https://electionsbg.com/section/263900014,6.0,32.0,0.1875,6.09
